Datum,Anruf-ID,Anrufername,Anliegen,Anrufdauer (Min),Dienstgebühr (€),Gesamtkosten (€),Zeitstempel
2024-12-06,269935,Julia Weber,Rechnungsanfrage,8,2.50,20.00,17:30
2024-12-07,269936,Erika Wagner,Allgemeine Anfrage,7,3.00,21.00,13:45
2024-12-11,269937,Karl Meier,Terminänderung,7,2.50,17.50,08:15
2024-12-08,269938,Lisa Braun,Dringender Anruf,18,3.00,54.00,14:45
2024-12-08,269939,Julia Meier,Allgemeine Anfrage,10,2.50,25.00,15:00
2024-12-05,269940,Erika Braun,Terminänderung,24,2.50,60.00,11:30
2024-12-02,269941,Karl Wagner,Terminänderung,6,2.50,15.00,16:00
2024-12-10,269942,Anna Schäfer,Rechnungsanfrage,15,2.50,37.50,15:30
2024-12-02,269943,Julia Wagner,Rechnungsanfrage,5,3.00,15.00,15:45
2024-12-04,269944,Karl Huber,Rechnungsanfrage,14,3.00,42.00,17:00
2024-12-10,269945,Anna Weber,Allgemeine Anfrage,17,3.00,51.00,11:30
2024-12-03,269946,Hans Weber,Rechnungsanfrage,24,3.00,72.00,16:45
2024-12-09,269947,Peter Meier,Terminänderung,10,3.00,30.00,08:15
2024-12-05,269948,Erika Fischer,Dringender Anruf,20,2.50,50.00,14:15
2024-12-11,269949,Hans Wagner,Dringender Anruf,13,3.00,39.00,14:15
2024-12-10,269950,Lisa Weber,Allgemeine Anfrage,21,2.50,52.50,14:30
2024-12-05,269951,Lisa Kühn,Dringender Anruf,25,2.50,62.50,17:00
2024-12-01,269952,Peter Braun,Rechnungsanfrage,11,2.50,27.50,08:45
2024-12-05,269953,Erika Müller,Terminbuchung,23,2.50,57.50,15:15
2024-12-10,269954,Peter Wagner,Terminänderung,13,2.50,32.50,11:30
2024-12-06,269955,Julia Weber,Terminänderung,10,2.50,25.00,08:30
2024-12-12,269956,Hans Wagner,Allgemeine Anfrage,13,2.50,32.50,14:15
2024-12-05,269957,Erika Fischer,Allgemeine Anfrage,20,2.50,50.00,16:00
2024-12-11,269958,Peter Meier,Dringender Anruf,22,3.00,66.00,09:30
2024-12-03,269959,Julia Wagner,Terminbuchung,22,3.00,66.00,15:15
2024-12-02,269960,Karl Braun,Rechnungsanfrage,23,3.00,69.00,10:30
2024-12-08,269961,Michael Meier,Dringender Anruf,13,3.00,39.00,16:00
2024-12-01,269962,Karl Weber,Rechnungsanfrage,16,2.50,40.00,11:45
2024-12-08,269963,Julia Schmidt,Terminänderung,14,2.50,35.00,11:00
2024-12-11,269964,Michael Kühn,Rechnungsanfrage,17,3.00,51.00,12:00
2024-12-08,269965,Erika Meier,Rechnungsanfrage,11,2.50,27.50,10:30
2024-12-04,269966,Michael Schmidt,Terminbuchung,8,3.00,24.00,08:30
