Datum,Anruf-ID,Anrufername,Anliegen,Anrufdauer (Min),Dienstgebühr (€),Gesamtkosten (€),Zeitstempel
2024-12-11,213078,Lisa Kühn,Rechnungsanfrage,18,2.50,45.00,15:00
2024-12-09,213079,Julia Kühn,Rechnungsanfrage,5,3.00,15.00,17:00
2024-12-12,213080,Hans Meier,Dringender Anruf,14,2.50,35.00,15:15
2024-12-11,213081,Michael Fischer,Terminänderung,23,3.00,69.00,11:45
2024-12-03,213082,Michael Fischer,Allgemeine Anfrage,5,3.00,15.00,13:15
2024-12-01,213083,Michael Kühn,Dringender Anruf,25,2.50,62.50,08:00
2024-12-03,213084,Karl Meier,Terminbuchung,14,2.50,35.00,17:30
2024-12-03,213085,Erika Huber,Dringender Anruf,12,3.00,36.00,14:30
2024-12-05,213086,Thomas Schmidt,Dringender Anruf,22,3.00,66.00,16:30
2024-12-07,213087,Erika Schäfer,Allgemeine Anfrage,16,2.50,40.00,14:45
2024-12-11,213088,Lisa Wagner,Terminänderung,19,3.00,57.00,17:45
2024-12-06,213089,Erika Schmidt,Terminbuchung,16,2.50,40.00,12:30
2024-12-11,213090,Lisa Huber,Allgemeine Anfrage,18,2.50,45.00,09:45
2024-12-06,213091,Karl Wagner,Rechnungsanfrage,14,3.00,42.00,14:15
2024-12-09,213092,Karl Huber,Dringender Anruf,5,2.50,12.50,10:30
2024-12-02,213093,Sarah Müller,Rechnungsanfrage,18,2.50,45.00,13:00
2024-12-10,213094,Julia Weber,Terminbuchung,22,2.50,55.00,10:45
